#{"t_start": 1660126279.9136262, "env_id": null}
r,l,t
1.229557,400,70.024642
3.657087,119,86.598128
0.634507,298,122.476218
0.01804,93,130.330155
0.214704,121,142.10371
0.0158,224,165.26964
1.29366,350,203.198838
0.243837,209,227.57957
0.14379,507,392.672482
1.175987,400,435.71401
0.978679,99,446.689517
1.548848,227,474.427791
6.604035,340,518.688385
2.397603,338,565.509999
2.240868,238,593.859163
6.183137,292,812.89781
3.085982,283,840.232609
0.584329,169,860.061628
0.01601,130,870.575416
3.284365,250,904.284051
0.016241,63,911.520498
0.648727,53,918.218949
6.940212,400,969.885907
2.432952,319,1008.181264
9.132631,478,1231.86509
3.817446,17,1233.553456
1.168949,120,1244.055119
0.01574,65,1249.57499
0.036681,201,1269.769826
3.02926,218,1296.599887
2.469972,228,1323.283594
1.008522,130,1336.719352
5.057153,231,1358.683666
5.937264,206,1381.920294
8.359855,111,1393.280088
6.79317,202,1445.341738
2.982818,95,1454.728642
0.124498,112,1464.256001
6.249711,338,1513.582134
3.969188,16,1515.437115
5.111443,132,1527.531022
4.207303,26,1529.958446
2.691917,37,1533.805982
2.535203,25,1536.481376
4.81481,400,1582.790179
14.487552,193,1604.354314
18.946602,128,1621.325255
12.778984,151,1641.084019
9.521519,84,1650.169872
4.462006,85,1660.045346
6.228642,101,1730.32017
4.519327,217,1762.197105
1.395085,22,1764.534056
3.832647,93,1772.660858
12.541406,269,1807.586143
2.964538,119,1820.518079
12.873815,125,1837.948462
6.012775,44,1842.840828
8.430861,84,1853.841766
3.772991,125,1869.295963
13.814489,123,1885.799421
5.241198,349,1936.885351
0.01801,245,1970.495884
0.037265,238,1993.864975
0.01863,113,2005.300012
0.017499,46,2008.171266
0.017531,52,2011.444425
0.015527,181,2032.847048
0.017374,109,2040.457994
0.018171,73,2045.098787
0.017593,290,2083.655077
0.01781,146,2099.011639
0.016003,65,2103.210722
0.017786,128,2111.527951
0.017624,171,2130.810022
2.449302,195,2158.577708
5.964698,100,2175.109527
14.422831,100,2191.213173
17.71626,62,2199.390717
8.192492,52,2206.537172
8.909199,92,2411.594392
0.06109,14,2413.429749
0.06791,15,2415.45006
7.600532,209,2453.540526
1.176464,268,2478.539078
0.018493,146,2485.403364
0.018205,33,2487.114053
0.018268,44,2489.323952
