#{"t_start": 1660290532.276858,"env_id": null}
r,l,t
0.015748,267,58.122218
1.899913,214,86.031299
0.53532,292,128.54475
4.22459,400,184.666356
2.276692,365,233.658752
0.016144,76,240.730954
0.015844,81,248.392169
9.132542,500,326.697689
0.429782,207,351.118364
9.054841,400,407.146501
2.340877,69,416.393145
0.017788,70,423.077291
3.996444,117,439.162563
5.093012,400,495.829183
4.839345,400,551.818465
3.733095,49,556.72053
6.936856,337,777.827293
0.081167,400,817.021285
1.409531,318,861.913044
4.327603,299,910.580183
3.039478,188,936.848375
7.897871,353,984.937006
7.104856,52,992.02751
6.269859,371,1232.794509
2.706555,240,1272.127665
2.888941,368,1322.845479
6.232138,400,1379.963801
1.398115,347,1428.225454
0.017565,108,1438.338496
6.08888,642,1722.239407
0.473758,167,1742.643021
0.089456,366,1794.60252
5.218679,324,1846.517118
4.454096,242,1882.926574
2.953644,400,1943.774235
1.030901,353,1999.156689
2.483752,202,2030.968577
3.906361,317,2073.945371
8.328445,400,2129.235733
1.465862,356,2171.437873
3.855978,184,2195.028941
2.968493,286,2233.411577
8.812171,90,2244.833535
0.018543,16,2245.902442
0.018555,14,2246.907041
0.018081,14,2247.890619
0.018153,16,2248.928399
0.018408,15,2249.97185
0.018298,14,2250.989179
0.018132,14,2251.971814
0.018428,14,2252.963842
0.01756,14,2253.931538
0.018215,13,2254.875642
0.018096,12,2255.731439
0.018581,12,2256.596071
0.018362,13,2257.544851
0.018342,12,2258.410226
0.018506,14,2259.421846
0.018699,14,2260.372489
0.018064,13,2261.372651
0.015871,15,2262.531504
0.018045,17,2263.912324
0.01758,12,2264.818293
0.015805,12,2265.820263
0.017082,18,2267.14151
0.017531,17,2268.470636
0.018375,18,2269.909179
0.015755,28,2272.293621
0.01574,24,2274.298915
0.015732,52,2278.942717
0.015785,88,2287.593082
0.016198,58,2292.257777
15.304789,92,2304.976005
21.293226,73,2317.13729
18.555319,68,2322.652767
12.663199,74,2328.349491
25.217006,41,2331.775203
8.32805,52,2341.27317
20.735749,112,2362.888432
8.782908,48,2368.161294
3.799336,40,2374.172281
10.9323,54,2382.614953
8.461013,53,2388.651659
9.447097,24,2392.276326
7.398275,56,2399.657901
4.885327,45,2403.295457
4.234178,42,2409.130733
5.49977,45,2412.313222
13.78428,69,2424.911905
7.244301,59,2432.037526
16.343361,145,2449.599539
0.015724,14,2450.810168
0.017453,16,2452.109271
0.015732,15,2453.261979
0.015222,18,2454.601587
0.017615,17,2456.182834
0.015178,17,2457.597294
0.015724,17,2459.045785
0.01574,22,2460.969508
0.015755,16,2462.211285
0.015873,22,2464.087274
0.017437,21,2465.732401
0.032268,22,2469.283028
0.017756,17,2470.820654
0.01574,22,2472.485121
0.015724,18,2473.917112
0.018808,14,2474.952477
0.01574,14,2476.183006
0.015765,15,2477.586829
0.015917,16,2478.939835
0.018335,13,2479.986541
0.015732,20,2481.516757
0.015732,32,2484.296656
13.82836,100,2497.020942
0.015842,68,2503.770998
12.202273,91,2514.794108
0.358034,58,2519.570085
0.015742,44,2522.487059
0.113593,35,2524.762307
0.018989,41,2527.499166
0.018642,35,2529.859833
0.039103,35,2532.246123
0.018514,33,2534.475213
0.018727,29,2536.504017
0.984721,53,2540.47168
6.752591,70,2548.171656
10.16758,109,2564.442963
14.313295,110,2585.167622
14.327738,90,2598.213217
0.017625,30,2600.602532
0.015268,29,2603.129501
8.118446,224,2627.882007
19.82613,130,2638.666963
19.524286,137,2659.487294
11.251896,142,2671.721094
12.679381,107,2679.89608
24.514694,98,2698.952143
7.935733,106,2712.787656
14.505882,89,2719.20221
17.227509,107,2730.80597
14.823845,70,2735.27124
14.52638,100,2742.889663
15.31697,100,2749.874376
14.80584,90,2756.106438
54.280163,113,2762.991446
20.906674,147,2772.835752
10.03559,128,2780.87524
36.46488,123,2788.196497
14.108785,122,2797.048982
23.413013,108,2804.2683
18.795568,93,2810.253368
