#{"t_start": 1660390189.2285695, "env_id": null}
r,l,t
19.860352,314,74.079885
3.055761,400,124.550915
6.406579,400,177.417464
0.611416,134,192.15268
0.116956,182,212.761901
2.995876,348,255.885537
13.502613,622,517.086155
5.906425,400,553.98413
0.017504,289,586.662207
0.055757,167,601.201646
0.01574,28,603.56409
0.016027,18,605.02369
0.01574,20,606.587776
0.01758,17,607.882684
0.018522,14,608.797757
0.016236,18,610.20422
0.017599,18,611.760151
0.018572,23,613.374747
0.017233,18,614.816433
0.017234,63,619.974734
0.015762,86,628.272402
0.719331,400,676.230842
2.01497,148,811.749406
0.01588,137,823.58854
6.763382,186,845.500476
0.596207,18,847.445074
0.561508,232,881.368728
8.184618,178,903.392104
5.447708,28,906.426777
3.406081,170,936.135499
1.238602,99,951.294458
9.409856,58,959.148715
7.362858,51,965.364841
3.918374,34,969.926517
9.585261,81,979.569523
7.538989,41,984.235258
5.070236,222,1016.126425
2.628681,144,1033.693859
0.408375,115,1047.780376
4.100131,52,1053.968859
16.192858,171,1093.958424
1.169158,32,1097.214737
0.01819,83,1105.049501
0.71071,77,1111.672647
2.81779,42,1116.98543
0.25892,107,1129.559977
2.13398,12,1131.08747
3.97328,123,1144.881542
3.460893,44,1150.757062
8.119456,30,1153.783556
2.95246,17,1156.021762
11.875355,45,1159.427016
1.955154,32,1163.156358
0.2356,92,1176.429646
6.023892,115,1190.646188
0.015207,113,1200.175755
3.913809,197,1227.482231
2.342395,104,1237.390107
8.842977,400,1292.138366
0.58393,47,1296.561787
1.378302,121,1312.664681
4.105134,335,1355.462897
5.837668,140,1369.370962
2.963222,40,1372.831952
10.492629,343,1423.353703
6.165009,119,1437.012305
5.843609,168,1458.038532
4.240909,26,1460.418432
1.044321,125,1471.301345
1.608211,20,1473.37661
3.098237,165,1493.233573
2.868148,27,1495.627724
2.090855,173,1511.146997
2.997928,136,1526.536718
3.947344,38,1531.213692
7.126043,322,1613.807759
12.904563,43,1620.559377
2.704939,56,1626.595993
7.159794,139,1645.425948
11.778381,55,1652.87237
2.497042,132,1672.952348
6.38789,12,1674.113683
8.392342,31,1677.803946
14.66846,101,1689.300304
13.882048,35,1693.216738
11.252774,67,1701.261368
11.367733,45,1705.899941
16.072738,58,1711.139643
10.545849,75,1716.853662
35.275386,116,1727.708876
11.915415,57,1732.290419
30.150716,84,1738.558524
10.375797,60,1743.243504
12.458875,80,1749.093685
5.218056,52,1753.152637
7.838296,47,1756.616507
12.318372,39,1759.134983
