#{"t_start": 1660651925.987635, "env_id": null}
r,l,t
5.494562,400,79.301316
0.029935,400,120.169693
0.017738,156,135.689616
0.539566,400,175.198758
6.31917,361,222.334691
0.015207,109,233.101203
0.430879,398,281.668782
6.978381,236,313.272817
0.015967,359,347.050967
3.205468,400,402.74964
0.624238,400,445.892891
0.015735,133,458.853214
2.256775,648,555.003873
1.647985,278,596.900935
3.846128,280,638.423976
0.911307,257,685.23826
3.148942,231,707.68128
0.650081,302,737.242811
8.519035,450,1009.486901
6.643795,327,1058.453483
0.015407,400,1178.816246
0.015831,43,1183.329135
0.015373,24,1185.651635
0.015193,62,1191.555673
0.01577,400,1279.034761
0.015724,23,1281.228426
0.017324,28,1283.614551
0.030979,113,1294.009433
0.016656,19,1295.425101
0.016149,102,1304.523704
1.210748,46,1309.185031
8.648538,534,1450.472296
1.732683,400,1508.710913
0.01782,400,1595.898908
0.040603,161,1611.553676
0.018414,143,1625.977018
2.590622,19,1628.7061
7.838262,177,1652.237332
2.153087,242,1686.657766
0.202561,383,1864.02606
0.094799,142,1878.164037
3.954303,400,1943.901002
3.750942,200,1972.379598
11.294707,341,2022.59753
2.487626,58,2028.830142
9.859191,330,2090.44744
2.026648,116,2101.682599
2.177446,117,2117.713576
4.162962,133,2157.875779
0.017763,69,2164.382078
3.886215,174,2188.880295
0.423056,62,2197.348894
0.018799,55,2202.717831
1.477304,89,2211.079625
0.016098,45,2215.241191
3.010629,82,2223.126524
0.463861,113,2233.003758
0.925635,136,2245.8865
4.936517,84,2256.462042
0.807241,99,2265.949119
0.986214,85,2278.780159
5.106667,175,2294.502397
4.45714,121,2313.471046
5.474252,167,2335.995997
1.389664,89,2344.308006
5.922854,195,2362.848176
3.777716,190,2389.411371
10.723554,70,2398.777279
13.662054,72,2409.538613
1.640412,57,2417.810227
4.725057,60,2426.993806
2.583719,41,2430.638381
0.467457,32,2433.441188
8.139121,58,2438.822292
0.016008,42,2442.812897
5.65982,57,2447.881016
1.064226,30,2450.578023
0.015831,36,2454.048565
0.015509,30,2456.853226
3.71778,48,2461.749443
3.22926,37,2465.678613
4.093889,75,2477.634565
2.457577,23,2479.765929
1.218341,38,2487.292283
1.058036,19,2490.320336
1.462732,21,2493.478748
12.681257,306,2568.926091
