#{"t_start": 1659900230.942536, "env_id": null}
r,l,t
0.40805,400,46.043562
1.130558,400,86.182803
0.519112,344,144.667385
0.782375,400,223.952851
0.051898,400,286.666788
0.328148,456,352.873749
0.046355,373,399.759024
0.290468,400,454.602956
0.051262,320,499.356432
0.730717,400,559.867527
0.934061,425,638.249623
0.083742,171,662.770817
0.768784,400,723.434523
0.572774,74,733.249933
1.633404,14,735.043509
0.050766,400,831.514443
17.471302,117,857.455513
0.214568,147,884.728356
2.452353,28,889.486001
2.725449,282,947.736984
3.510297,86,1075.205787
0.064244,34,1081.995909
2.441942,13,1084.299669
0.193607,33,1090.752272
0.04084,237,1134.208333
0.760295,61,1141.157701
0.686863,302,1177.406468
0.43165,252,1209.087515
0.036166,127,1226.440764
2.244178,152,1249.864139
1.060837,189,1277.37594
0.063578,253,1313.642945
1.442446,188,1338.187198
0.036944,90,1350.810908
0.294631,432,1470.457084
0.030711,166,1504.158284
0.027022,126,1527.283108
1.048168,281,1582.117059
0.21424,243,1630.106921
0.034251,180,1659.992167
1.012466,169,1688.615163
0.033804,25,1692.725277
14.872232,51,1702.326432
0.022475,13,1704.175464
0.02217,13,1706.07445
0.021454,13,1707.963442
0.01694,13,1709.84244
0.021529,13,1711.731432
0.016357,13,1713.59044
0.015699,13,1715.469437
0.022265,13,1717.366619
0.022843,13,1719.232764
0.021368,13,1721.114148
0.015986,13,1722.949605
0.015738,13,1724.794056
0.021599,13,1726.6745
0.022464,13,1728.581934
0.022207,13,1730.452073
0.014989,13,1732.346806
0.023122,13,1734.233546
0.014643,13,1736.080315
0.022559,14,1738.070988
0.013878,13,1739.89377
0.01561,13,1741.764523
0.022164,14,1743.835145
0.021798,13,1745.801829
0.022537,14,1747.849833
0.025395,18,1750.417623
0.022699,17,1753.305816
0.041155,27,1761.268138
0.026099,15,1764.861531
0.026462,17,1768.763098
0.026635,16,1772.7043
0.024697,16,1777.080136
0.025664,16,1781.179924
0.024225,16,1785.047583
0.022833,15,1788.798444
0.021906,15,1792.393863
0.025576,15,1795.729072
0.021953,15,1799.040205
0.03715,17,1802.819282
0.025232,16,1806.81933
0.036863,18,1809.814564
0.024095,16,1812.396796
0.024522,17,1815.165014
0.026318,16,1817.818754
0.03885,19,1820.9289
0.039066,18,1823.854949
0.024122,14,1826.165406
0.022767,16,1828.851615
0.022043,16,1831.401911
0.024084,15,1833.808311
0.021397,16,1836.398581
0.030445,14,1838.789537
0.02389,18,1841.635094
0.039641,19,1844.74694
0.037284,22,1848.382086
0.02471,18,1851.274258
0.043853,22,1854.782407
0.037752,23,1858.47751
0.03478,23,1862.326578
0.020914,29,1867.209394
0.022056,28,1872.250554
0.029246,25,1876.655618
0.022957,24,1880.748626
0.043005,17,1883.600818
0.020062,42,1890.851141
0.039572,22,1894.394408
0.022081,14,1896.707319
0.035703,21,1900.109867
0.02222,16,1902.563331
0.025709,17,1905.233548
0.022536,15,1907.623954
0.02416,16,1910.206026
0.030552,17,1912.930386
0.028781,15,1915.419063
0.024878,15,1917.915731
0.039074,15,1920.400415
0.741878,72,1933.601871
0.801841,80,1946.661606
0.321951,86,1966.376905
2.460657,26,1971.461092
1.507547,71,1987.90612
1.058649,11,1990.396019
1.225549,85,2009.474016
0.891512,34,2016.261489
14.444975,40,2023.870614
0.58446,14,2026.712895
0.244895,17,2030.793434
0.741741,91,2048.490083
0.421647,74,2063.310827
0.195052,96,2082.708895
0.12125,136,2106.624994
0.194096,171,2135.825435
1.720191,153,2294.570029
2.076972,255,2336.376677
0.22907,24,2339.920747
0.401787,17,2342.351284
0.032981,37,2347.933665
0.964755,35,2353.280714
1.221506,12,2355.3037
1.863937,44,2362.815238
0.019056,73,2373.133729
0.208012,226,2406.8806
0.043733,92,2420.243435
0.051376,121,2437.915952
0.038456,57,2446.477599
0.028439,45,2453.408947
0.033569,58,2462.660902
0.032674,71,2473.606381
0.039184,32,2478.530216
0.043377,31,2483.313586
0.036962,16,2485.790953
0.025415,17,2488.269383
0.027021,26,2491.9759
0.029902,27,2495.857929
0.021889,17,2498.241194
0.022185,18,2500.7658
0.022098,16,2503.102798
0.022053,17,2505.689622
0.025116,21,2508.747427
0.025755,20,2511.695717
0.034009,22,2515.067155
0.037826,25,2518.987304
0.040957,22,2522.562995
0.042126,26,2526.79708
0.040272,46,2534.371881
0.040514,25,2538.276442
