#{"t_start": 1660029043.0983582, "env_id": null}
r,l,t
14.870954,131,40.674388
35.625939,400,93.831667
36.3978,400,144.705395
7.660251,76,151.931813
26.706277,400,201.909302
34.43628,400,251.454427
54.082876,593,337.804689
44.625239,400,375.019014
31.156176,400,426.648178
31.244802,400,478.922878
15.615483,204,506.79879
5.77858,60,511.693928
9.564635,84,520.165215
15.767972,131,536.016359
28.0339,198,555.727846
15.402275,159,575.564539
11.780592,101,584.641528
4.995779,42,588.229901
11.446649,79,595.420584
22.199596,145,612.369774
42.766676,331,648.41675
23.357807,134,667.662615
17.499856,132,679.836037
15.677311,142,696.049824
34.776377,295,725.199421
41.595579,352,766.983534
15.862459,101,775.932991
53.562261,400,831.794365
23.288876,179,853.367101
28.346335,248,884.766431
12.112121,101,895.106812
34.245099,270,929.708582
18.140796,198,954.751194
64.495597,554,1029.661835
30.141053,293,1067.78843
15.47906,95,1079.341834
11.940116,158,1098.073688
6.361078,37,1101.573963
31.817347,274,1128.260981
22.920978,219,1155.500343
21.031956,194,1179.255205
12.174583,114,1189.612483
9.064692,96,1199.805969
7.333321,79,1207.004522
12.863732,166,1231.632519
1.60834,17,1232.840514
1.254745,18,1234.065996
1.41644,15,1238.484765
0.959646,15,1239.820276
0.9621,15,1241.185296
1.057112,17,1242.837241
1.235126,16,1244.502491
0.906852,15,1245.984396
1.009747,16,1247.508201
1.051977,17,1249.158579
1.48071,17,1250.955625
1.278892,14,1252.41356
1.11583,16,1253.927367
1.737573,16,1255.663558
1.190112,15,1257.904898
1.096232,14,1258.886893
0.890981,14,1259.794755
0.994308,15,1260.776085
1.27931,15,1261.881862
1.768573,16,1263.194036
0.922295,16,1264.265031
1.248165,16,1265.362512
1.591999,17,1266.63608
1.044217,16,1267.737391
1.282856,15,1268.801501
1.38168,15,1269.941733
1.50344,18,1271.20286
1.334396,17,1272.3995
1.621894,17,1273.711022
1.77728,17,1275.055238
1.578571,16,1276.218184
1.592322,14,1277.335689
1.476906,14,1278.475738
1.569815,16,1279.677327
1.643792,16,1280.95317
2.288307,19,1282.546182
1.280667,15,1283.592203
2.406526,25,1285.588733
3.417638,33,1288.129992
2.942935,30,1290.419179
21.808251,140,1306.465932
4.736431,61,1310.489452
6.50795,57,1314.700513
7.612293,55,1319.397403
5.843829,39,1322.989825
5.627615,49,1326.904444
4.507843,25,1329.077448
3.486888,26,1330.957819
2.447427,29,1332.914499
4.784659,31,1335.29979
2.846555,32,1337.556321
4.151304,38,1340.369033
4.03659,31,1343.004463
4.510834,32,1345.451563
6.757835,24,1347.913414
10.118051,50,1352.902667
3.26556,32,1355.276877
8.588891,68,1360.841274
3.875524,35,1363.490079
12.709264,134,1374.703446
13.666943,166,1398.589883
19.203176,263,1434.804286
1.347964,11,1435.765944
2.026819,16,1437.1873
1.566938,14,1438.30194
1.118952,12,1439.214175
1.248705,11,1440.110766
0.878083,10,1440.798635
1.000972,10,1441.573272
1.368883,11,1442.45241
1.361325,11,1443.35426
1.024038,10,1444.135544
1.096863,10,1444.914592
1.053252,11,1445.7515
1.130162,11,1446.56038
0.930581,11,1447.359735
1.40801,12,1448.389473
0.840467,12,1449.205815
1.45046,11,1450.167717
1.842223,16,1451.513175
4.689889,36,1454.350842
2.730115,23,1456.375754
8.117389,95,1466.696878
19.247206,62,1471.281982
7.607694,58,1474.840026
14.28084,86,1480.098864
26.302797,93,1485.869808
22.875217,92,1491.434132
15.713797,47,1494.785047
34.146302,147,1503.456454
13.300922,108,1516.087255
1.151641,15,1517.069688
1.633919,19,1518.30137
1.886687,23,1519.862765
11.208325,104,1528.63295
7.858993,84,1540.98918
3.988593,66,1549.443143
5.851037,53,1553.830851
10.074532,99,1562.067241
4.710417,51,1566.00189
10.641222,155,1583.412971
6.232836,76,1589.090843
7.652969,70,1594.470472
22.472236,286,1626.983186
11.739575,108,1635.764241
11.764111,185,1649.066935
3.489186,44,1652.310995
7.847948,95,1659.265628
7.395653,91,1665.716985
9.562061,140,1678.862687
6.962329,86,1685.151207
6.047095,57,1691.738995
14.416825,139,1707.383025
3.339479,44,1713.624604
5.210937,82,1723.921087
1.549443,15,1725.203763
1.493757,13,1726.310158
1.869293,14,1727.645817
1.711114,15,1729.332639
1.648501,13,1730.534619
4.59335,78,1745.055488
1.252208,14,1746.561912
1.749951,14,1748.098287
7.289251,126,1764.904029
9.184789,110,1780.527258
48.633585,516,1895.942173
14.903103,225,1917.10561
25.604213,39,1919.73375
22.144669,84,1925.66187
59.763264,73,1930.440299
52.331204,59,1934.655682
69.425643,77,1939.651799
57.633011,66,1944.204559
64.336717,78,1949.400256
60.266898,68,1953.754137
63.596065,81,1958.823062
67.463984,74,1963.589466
57.229178,89,1969.626682
65.46114,95,1975.829981
54.380884,85,1981.579054
88.855293,93,1987.400743
83.064724,91,1993.094946
62.905252,73,1997.782035
65.065437,84,2003.424336
61.373159,88,2009.667002
64.272877,71,2014.458613
61.601509,90,2020.511164
63.119988,82,2041.082704
61.605582,78,2046.128386
58.838668,83,2051.445034
61.173208,71,2056.321666
46.180947,76,2061.120722
37.452376,89,2066.867706
58.351956,72,2071.493474
49.475755,91,2077.642454
58.08329,65,2081.912788
45.154967,95,2088.02165
50.422971,78,2093.183958
41.940254,94,2099.184158
43.105872,102,2105.776572
39.850465,104,2112.366715
38.88718,77,2117.29456
49.67579,97,2123.434448
42.430893,89,2129.149859
51.16445,95,2135.371832
30.490896,83,2140.804866
32.586583,81,2146.004194
39.109053,105,2152.706138
36.661731,92,2158.514889
81.317068,216,2188.18243
54.660461,89,2197.319387
35.145405,94,2203.369532
39.347116,92,2209.297163
37.731917,117,2216.87945
35.659427,98,2223.146674
35.967587,71,2227.897075
43.189072,151,2237.711641
40.810542,92,2243.610293
24.945566,39,2246.288245
33.356614,111,2253.406917
30.592632,126,2261.732376
46.976945,175,2271.957635
36.303285,134,2281.022216
35.756452,85,2286.307459
35.099855,158,2296.778364
36.241166,124,2304.433715
26.809099,110,2310.946809
38.152634,127,2342.211876
36.895417,138,2350.756843
23.235172,64,2354.991045
30.035148,95,2360.848537
25.093342,88,2366.181329
19.977422,83,2370.958132
30.662479,129,2379.060816
38.150788,122,2386.808707
45.429564,117,2395.04869
29.97362,122,2403.018355
37.899962,173,2414.122305
37.101243,145,2423.244865
35.493776,70,2427.796949
47.128662,145,2437.036593
29.706997,84,2442.095686
47.542662,143,2451.038184
30.062728,96,2456.670241
107.099224,293,2498.623461
26.29415,104,2505.195824
37.639785,99,2511.681588
36.031921,80,2516.840925
37.107314,87,2522.434934
40.791681,101,2529.789769
36.25263,159,2540.731425
23.736944,64,2545.037893
45.152664,171,2558.481498
39.231508,139,2571.739013
28.136924,111,2578.839782
40.592472,147,2588.140232
29.202176,108,2595.158524
34.750544,172,2606.017786
35.941437,151,2616.530793
67.768735,214,2650.915269
70.125628,298,2667.864632
35.518042,115,2674.799335
33.887806,94,2681.21733
31.742,124,2688.918996
25.050105,92,2694.57737
41.03963,181,2706.931064
46.924701,162,2720.708033
32.552807,114,2730.429099
61.384635,160,2742.17973
36.372171,118,2750.455947
42.633953,78,2755.766068
58.411731,117,2764.506659
34.426161,124,2775.67557
68.870362,218,2817.099215
32.831411,74,2826.002421
42.417937,92,2835.679604
48.454225,142,2854.69695
77.646055,314,2907.569977
31.270906,79,2912.527437
20.987396,67,2916.432267
28.929224,82,2921.422116
11.960977,57,2924.991841
8.302845,63,2928.646627
9.521501,54,2932.155892
3.997726,54,2935.250376
2.871922,51,2938.105464
4.778314,54,2941.521034
5.118658,56,2944.976131
13.389047,109,2953.003765
20.075513,128,2969.199244
5.785825,63,2979.436364
10.052077,144,3002.308184
7.379503,113,3018.040035
5.07001,76,3027.165465
11.151265,101,3248.447981
4.065984,55,3255.074128
2.285597,19,3257.376354
5.689113,69,3264.886782
5.508822,64,3269.247901
22.933802,400,3339.12857
21.56174,296,3357.038619
45.457642,323,3373.686097
18.4708,382,3451.467273
10.284713,67,3458.449717
6.563309,48,3461.87312
4.712312,31,3463.988645
3.285064,28,3465.864557
3.035838,27,3467.671211
3.221995,28,3469.394854
2.901275,29,3471.060589
2.344406,31,3472.81623
5.792098,48,3477.723984
4.557817,46,3480.271922
6.660119,45,3482.9368
6.998458,41,3485.860563
6.960229,43,3489.331076
4.404691,36,3492.480186
19.592946,63,3500.39147
19.025188,34,3502.982636
33.882056,92,3508.862367
40.142691,83,3514.281896
39.258872,155,3523.872783
17.614549,37,3526.631264
22.799722,97,3534.581663
32.724113,134,3545.75256
16.243863,25,3547.999837
27.257914,64,3554.465846
23.461175,110,3567.277459
43.336382,95,3577.701838
49.20729,94,3588.886017
42.533775,50,3593.992305
62.09743,106,3606.141308
45.611276,84,3616.017055
44.889645,84,3626.445092
82.235187,118,3638.772621
50.74559,87,3648.034549
59.909891,97,3659.817269
22.706073,33,3662.3986
51.628098,119,3680.637607
21.22535,27,3683.573277
55.800223,81,3692.979015
55.073982,57,3699.531289
50.71073,64,3706.318852
42.473409,73,3714.446078
43.883249,84,3724.222907
37.035062,46,3729.429016
45.421551,83,3738.138263
46.588665,84,3748.707471
35.72935,90,3754.474895
19.680756,56,3758.466064
25.776243,73,3763.083219
27.432742,83,3770.588801
32.757912,79,3778.381644
26.658224,79,3786.02748
21.950901,84,3793.873219
22.235523,28,3795.974011
20.106982,59,3800.329157
22.693973,101,3807.177707
38.29556,246,3835.761697
17.353598,131,3851.000866
4.136383,26,3853.324207
2.173328,17,3854.764323
1.134416,13,3855.662385
0.993084,15,3856.615349
0.97217,16,3857.629952
1.250622,22,3859.020989
1.188767,30,3860.745652
1.002366,27,3862.33021
2.827839,60,3867.808923
1.140699,24,3869.260678
1.199711,27,3870.85437
1.152348,26,3872.510362
1.018398,18,3873.686481
1.001376,16,3874.711569
0.889209,17,3875.800648
0.823282,14,3876.701828
0.805902,15,3877.700217
0.811999,14,3878.590595
0.986277,16,3879.617319
1.024292,16,3880.625177
0.825558,15,3881.591863
1.039339,17,3882.682359
2.980734,28,3884.391191
27.534027,123,3894.788788
21.619159,89,3900.078407
9.514858,33,3902.487641
1.6543,13,3903.530517
1.373584,12,3904.405221
1.516991,13,3905.40782
1.008616,12,3906.23653
0.994152,12,3907.057528
1.051364,12,3907.893025
1.05723,12,3908.723911
0.925531,12,3909.529525
0.87113,11,3910.265798
0.993212,12,3911.089066
0.867951,11,3911.865468
0.93977,12,3912.663089
0.908634,12,3913.47116
0.992312,12,3914.314619
0.924976,12,3915.119479
0.964576,12,3915.967288
0.841581,11,3916.713005
0.843544,11,3917.436532
0.933375,12,3918.248601
0.820338,12,3919.054474
0.82796,11,3919.841735
1.219187,12,3920.776113
1.246873,12,3921.734234
17.703516,50,3928.222489
87.529045,155,3937.596358
74.202792,79,3942.86529
51.932173,68,3947.525741
12.789477,21,3949.2404
64.54533,89,3955.218067
44.427946,63,3959.500784
45.53875,49,3963.008051
30.793536,71,3967.256252
47.479555,100,3973.936921
32.065368,72,3979.178903
33.185556,83,3985.866938
21.607892,67,3990.318237
48.863848,89,3998.642306
27.002083,81,4004.918592
61.210745,120,4018.336839
36.077429,127,4029.574849
54.069706,124,4039.190933
4.487741,27,4040.939199
4.227878,26,4042.661104
3.878794,25,4044.215828
4.147213,26,4045.92717
4.404715,26,4047.664794
4.829921,25,4049.641206
4.922361,26,4051.92197
3.92401,27,4053.864281
6.21428,45,4057.092075
31.283194,83,4063.378601
23.153013,78,4068.885407
51.771448,124,4079.719034
62.498638,89,4087.397452
61.675924,102,4097.39688
38.492509,147,4111.108971
20.334345,34,4114.057936
15.83369,91,4121.103664
41.638647,135,4130.540805
28.552395,84,4136.483378
30.170938,103,4144.22728
38.113389,90,4150.755014
38.745233,110,4159.457627
35.858987,87,4167.31047
23.441773,40,4170.954623
