#{"t_start": 1660582605.281665, "env_id": null}
r,l,t
38.15205,400,88.164972
15.61331,139,101.518205
60.856601,400,140.036721
10.044327,93,148.763397
36.41749,400,198.408062
42.992699,400,245.745805
16.915593,145,259.11489
19.674962,163,289.232152
37.011335,241,312.479836
33.088227,400,366.684352
39.547507,400,420.101487
27.527401,304,461.510844
30.85803,400,518.200704
59.466842,496,689.415452
15.878471,176,711.98724
16.438421,163,730.952204
14.958462,109,741.859375
33.52638,394,803.424943
25.305047,280,836.284385
12.124015,85,844.169784
9.052647,85,852.357636
51.315302,531,1004.515896
1.155581,11,1005.436804
1.861874,14,1006.789097
1.67186,12,1007.972939
1.661952,13,1009.143577
1.683951,13,1010.380515
1.252017,16,1011.641108
2.162354,21,1013.554001
2.414671,22,1015.530133
2.41728,19,1017.317021
23.957301,128,1030.511349
15.13674,100,1043.479323
18.024854,163,1063.090328
8.682403,39,1066.367683
9.083748,76,1074.337777
3.45859,24,1076.644761
5.171909,41,1080.377849
12.663648,103,1089.714316
10.217888,80,1098.522495
14.055154,108,1108.87408
24.691354,276,1142.578688
35.080189,291,1175.547847
15.15981,96,1187.206425
12.608107,106,1200.356675
18.491843,218,1233.004983
29.2604,235,1259.636016
28.352247,179,1281.490365
19.409073,144,1297.251805
5.315518,58,1302.12077
10.213243,71,1308.676547
15.238931,86,1318.812537
4.50308,38,1322.04767
6.967983,72,1327.758321
15.729072,101,1337.01512
14.551105,94,1345.779778
18.471173,134,1360.038509
6.437219,43,1364.308379
3.583153,33,1367.023179
3.697766,36,1370.024567
4.655122,34,1373.067608
3.596333,37,1375.994766
1.833009,21,1377.66147
28.150541,233,1406.316315
50.237405,424,1473.802897
19.477745,198,1501.608779
18.816517,204,1528.465712
16.866482,148,1549.237247
19.711261,134,1562.596918
11.841604,85,1574.197482
18.197425,131,1588.411588
21.404663,125,1599.699376
19.828257,98,1608.848306
27.934093,217,1637.297738
17.099418,109,1651.660775
13.681601,102,1663.322496
31.686132,139,1683.209626
21.862276,141,1705.312853
10.38206,78,1712.516943
15.970907,85,1720.12966
11.358181,69,1726.451982
8.233964,55,1733.616946
5.078409,53,1737.9163
5.103441,61,1742.472947
9.611729,59,1747.126977
11.874694,110,1764.468143
11.025753,102,1773.493783
11.57099,72,1781.195255
7.131039,71,1787.198855
6.931731,63,1792.619719
3.837501,36,1796.210539
6.309655,58,1801.621339
4.055904,39,1805.439013
4.009736,41,1809.325189
9.117372,80,1816.944444
13.035986,132,1833.177525
17.981296,203,1859.000338
15.727502,143,1876.903446
18.001289,141,1891.945545
5.333983,35,1894.913376
6.568381,41,1898.433818
4.315893,31,1901.415883
2.39192,24,1902.944605
5.075023,44,1907.574516
2.491733,24,1909.099425
2.439412,24,1910.697638
2.942811,32,1912.801843
7.849654,64,1917.210209
2.330295,23,1918.799441
2.991054,23,1920.519199
2.192,24,1922.06952
2.824147,22,1923.596355
3.572268,23,1925.454369
3.540999,24,1927.405761
3.265306,27,1929.490239
4.133826,97,1935.038618
1.048536,13,1935.936092
1.162161,15,1936.964624
1.274089,18,1938.113183
9.497122,160,1950.982416
1.514457,23,1952.722067
1.802041,26,1954.712682
2.249697,31,1957.382812
17.588062,133,1972.394958
5.089583,35,1975.031093
4.465755,37,1977.904438
5.069043,46,1982.855258
4.461502,40,1987.839497
2.901346,28,1990.704684
11.334819,51,1996.540802
4.509424,28,2000.096581
5.724282,41,2005.137811
2.547143,27,2008.138652
4.52038,42,2012.894992
2.161411,22,2014.576365
3.931977,41,2017.755716
6.936473,74,2023.257985
2.672747,29,2025.534603
2.01115,19,2027.028445
2.069053,21,2028.90595
4.236766,30,2031.495586
1.844304,23,2033.30994
3.455716,43,2036.677186
0.972541,13,2037.571317
0.920667,13,2038.481397
0.806407,13,2039.392096
1.023248,13,2040.375563
1.124516,14,2041.502237
1.346169,13,2042.62728
1.227963,13,2043.721146
1.295892,13,2044.789748
1.016504,13,2045.755873
2.954189,34,2048.166667
6.187693,71,2052.906098
1.466754,28,2054.70091
6.938208,101,2062.551714
10.389652,57,2066.431174
19.509229,104,2081.533806
8.949319,30,2084.260543
6.565062,26,2086.525631
5.897958,28,2088.981727
12.791249,38,2091.767701
10.426768,36,2094.342365
8.568173,40,2097.013248
15.786435,40,2099.65177
11.212735,49,2102.908651
19.159247,62,2106.858946
9.268117,57,2110.431037
6.396089,46,2113.459834
7.230187,64,2117.640277
13.403353,70,2124.377354
9.75169,75,2130.927875
12.028139,66,2135.195867
10.991484,96,2144.985081
25.564471,265,2195.338777
7.394106,52,2199.800722
2.454384,21,2201.807681
4.367073,108,2209.245632
10.249187,158,2231.081923
4.591668,50,2234.950196
10.613293,56,2239.437998
7.659426,62,2243.992151
7.415016,53,2247.928702
22.170164,67,2252.044469
18.460698,76,2257.534418
64.198549,272,2291.496804
25.985785,118,2304.362014
24.545236,77,2309.519817
20.420487,69,2317.128633
29.304751,85,2323.220923
33.891353,77,2330.871516
26.831018,64,2339.138666
26.788871,63,2346.22006
19.073108,60,2350.182485
16.017158,54,2353.544121
15.558192,52,2357.010708
10.347805,57,2360.640758
28.446634,90,2372.184296
41.075792,80,2382.939559
26.741782,62,2387.574302
26.45244,64,2394.00886
25.298515,68,2400.492852
27.46002,63,2406.908727
38.24799,68,2411.554178
30.6682,71,2416.482839
31.08586,64,2420.746089
34.261142,76,2426.99209
21.718397,58,2430.526254
36.016554,71,2434.888282
25.472593,63,2438.769368
21.026457,60,2442.521738
27.207711,62,2446.370899
42.552785,76,2451.154931
40.152723,87,2463.231366
38.31271,73,2470.066013
37.714472,71,2477.310124
19.99763,59,2480.764128
20.72141,57,2484.271321
22.152517,58,2487.794346
22.715202,65,2491.923786
31.620148,67,2496.188222
18.435516,56,2499.694236
34.462309,73,2504.480239
21.973226,60,2508.303433
36.104922,72,2512.80219
41.855515,99,2519.351991
27.570631,63,2523.403177
21.479435,59,2527.072976
27.841186,67,2531.251113
21.989845,61,2535.315246
43.369662,71,2540.029501
14.153607,59,2543.867606
25.591844,64,2547.913328
16.608752,60,2551.801726
23.657256,67,2556.434643
19.55302,61,2560.553294
14.862433,55,2564.239047
20.237882,63,2568.273202
26.78714,94,2574.785604
