#{"t_start": 1660485200.6356895, "env_id": null}
r,l,t
2.327825,400,90.245208
0.237147,400,144.21566
0.041794,64,150.599925
0.26533,400,201.746627
0.069179,21,203.757889
0.076046,317,245.879302
0.069745,191,265.812683
0.308014,570,373.831159
0.041794,177,392.755803
4.397841,216,415.319364
0.043511,193,433.410213
3.697538,88,442.009761
5.107919,206,471.924632
2.705587,242,503.2926
0.071905,274,528.331608
0.064521,36,531.412649
0.041948,18,533.005472
0.042339,30,535.900272
0.041991,52,540.530987
0.066336,68,546.823233
1.642368,358,644.250963
0.041938,197,669.97576
0.282769,214,696.536067
1.143406,326,744.739198
0.254566,400,801.004977
0.421771,39,804.736741
0.060558,122,818.64944
1.445997,260,851.968433
0.200675,214,1000.964249
1.114868,400,1056.253403
3.633506,360,1108.901549
3.703482,116,1119.852004
3.974518,194,1138.774223
0.410161,140,1155.037775
6.991083,400,1205.279479
8.662656,697,1492.452932
6.193873,295,1534.401777
0.554643,380,1585.891239
0.043608,134,1598.549936
0.624911,180,1621.004334
1.733513,205,1645.699373
2.576284,266,1682.817468
3.103781,325,1731.552022
7.760407,227,1760.735624
0.084232,15,1761.95834
0.069057,19,1763.63343
0.072479,16,1765.185509
0.072182,115,1775.356123
0.085856,73,1782.144465
10.634767,236,1824.152289
0.072457,55,1829.34554
0.072457,49,1833.613007
0.043891,58,1839.491286
6.765274,93,1851.718351
1.539187,73,1861.703773
2.975507,26,1863.989729
2.122193,111,1877.648992
3.767607,42,1881.921428
7.456646,224,1906.806484
7.083337,230,1935.424658
5.77109,142,1951.50225
7.659467,127,1974.403184
0.625181,377,2021.894586
1.800663,275,2053.219042
1.225457,222,2082.569634
1.209487,400,2134.544808
0.308065,400,2186.066461
0.063203,39,2189.415372
0.112841,306,2234.870595
0.09156,54,2239.54756
0.101619,27,2241.837969
0.049214,23,2243.975868
0.071908,59,2249.199722
0.046244,62,2254.924287
0.057013,96,2263.836643
0.041794,108,2275.59349
0.799469,400,2326.522413
0.092989,190,2351.6672
3.648068,169,2376.205907
4.916842,93,2389.550592
4.362787,81,2399.340327
0.197576,83,2411.270702
0.733694,75,2421.729225
3.84499,82,2428.562997
11.217279,154,2451.918874
3.779858,90,2461.825729
12.993929,101,2478.285504
0.064494,41,2481.690894
1.82051,51,2487.013156
0.085699,42,2490.634673
0.072008,41,2494.267758
0.072457,36,2497.440454
0.109262,92,2505.332096
0.064034,67,2511.34487
0.07772,140,2527.527893
8.603799,169,2544.973713
5.559403,70,2551.167228
2.068991,172,2572.162083
3.328945,134,2586.12402
1.900377,15,2587.686877
3.243038,75,2594.388919
0.055074,17,2595.732373
0.042058,41,2598.671518
0.044174,18,2600.265471
0.068306,20,2601.645221
0.041794,29,2603.968211
0.072359,18,2605.539694
0.083181,22,2607.430737
0.077566,33,2610.289749
0.172482,209,2633.349175
2.742076,60,2638.020231
0.0864,19,2639.408527
0.077399,22,2641.011634
0.05896,24,2643.144258
0.057492,21,2645.122839
0.092817,20,2646.94209
0.078982,23,2648.988675
0.068479,20,2650.875556
0.06602,23,2652.767918
0.075667,34,2655.725501
0.064587,54,2659.832928
0.188678,142,2673.581135
0.097793,62,2677.220593
0.070272,91,2682.412707
0.112602,151,2691.276921
0.124445,218,2704.747531
0.105105,133,2713.265577
0.061737,61,2717.620203
0.064501,58,2721.989424
0.0583,44,2725.473236
0.061554,54,2729.710323
0.050549,57,2734.13652
0.106467,56,2738.233027
0.067953,64,2742.65768
0.08129,64,2746.498039
0.076473,100,2752.59231
0.107086,153,2762.519063
0.093984,153,2771.614567
1.567164,384,2850.639246
0.109118,77,2864.399986
0.080436,69,2871.40882
0.07896,36,2874.809677
0.071568,92,2882.416945
0.123485,50,2885.890194
0.198048,46,2888.963372
0.355503,44,2892.245699
4.940831,51,2897.6106
0.491189,31,2899.797898
0.108545,28,2901.568864
0.207643,26,2903.186519
0.329724,26,2904.791014
0.07631,26,2906.44224
1.089233,28,2908.151436
0.347269,28,2909.870949
3.516213,28,2911.670391
4.609223,32,2913.895262
7.849437,37,2916.181222
3.650096,29,2918.005186
1.643669,29,2919.758903
4.442763,32,2921.709429
3.882606,31,2923.595767
25.605855,58,2927.031135
4.921371,65,2931.017079
5.347018,32,2933.055876
7.325082,37,2935.315868
10.044402,39,2937.616948
3.799618,30,2939.458679
4.274208,31,2941.387649
11.064746,43,2944.30168
6.978277,39,2946.768522
3.115383,36,2948.964287
9.929885,41,2951.405974
4.234778,34,2953.448768
11.817127,72,2957.60011
11.161331,48,2960.280254
11.580874,54,2963.389026
7.757283,66,2967.256158
29.431875,116,2973.82289
13.782768,41,2976.162818
12.195706,67,2980.052784
32.51215,85,2984.657258
18.605674,63,2988.089324
54.814319,87,2995.920521
16.741316,34,2998.092021
9.617363,86,3002.756149
19.709347,36,3004.84042
13.666672,83,3009.393994
30.133407,73,3014.015492
8.450718,43,3017.105981
34.546573,75,3021.418212
39.675095,85,3026.328492
13.917634,68,3030.579534
20.059211,73,3035.350664
16.697555,72,3039.869345
15.263405,110,3046.775059
12.278556,51,3050.180032
16.972516,78,3054.640882
9.533222,61,3057.919485
40.559709,91,3062.980275
18.949677,66,3066.471581
18.558338,63,3069.814769
25.108664,54,3072.815733
14.137803,82,3077.097745
14.972781,73,3080.905599
19.935639,91,3085.902764
44.05485,88,3090.728006
16.667448,85,3095.293473
17.746379,67,3098.957974
33.839741,66,3102.55828
25.11374,32,3104.641366
52.753729,108,3114.934655
14.005042,24,3116.539617
24.608522,58,3120.065102
19.238322,56,3123.337104
22.420068,83,3127.831893
28.09013,127,3134.625335
35.151359,82,3139.211091
34.740134,89,3144.353789
10.571506,70,3148.119662
19.534735,45,3150.836905
30.264821,47,3153.657838
11.141022,43,3156.284312
36.67671,66,3159.965593
22.870188,53,3163.197928
12.303065,81,3167.639777
34.967547,74,3175.867818
21.955875,70,3182.094869
45.03098,90,3190.840804
17.603097,45,3193.366946
21.415716,53,3196.692861
14.370371,54,3200.125672
27.134146,52,3203.106864
21.563514,49,3205.9718
29.614689,76,3210.113317
41.014937,137,3217.822365
34.405771,70,3221.742991
20.580639,78,3226.099464
35.561208,40,3228.66663
30.883603,85,3233.528114
40.00729,126,3247.531992
23.057415,50,3250.922643
16.982945,40,3253.46325
21.042912,88,3258.871246
23.81833,84,3263.862622
19.105343,79,3268.530852
23.39899,88,3274.358471
12.57091,73,3279.286926
17.957821,61,3283.120873
16.965783,68,3287.244713
24.357423,82,3291.873784
25.30039,68,3296.343599
22.651045,51,3299.390058
17.214908,54,3302.677691
6.968286,40,3305.592893
20.481571,66,3309.369244
9.447062,81,3314.095295
6.323395,57,3317.363126
29.234159,98,3323.064746
25.887831,63,3326.815522
19.486027,50,3330.325022
45.087566,99,3336.636524
17.78932,32,3338.776141
18.162603,74,3343.227389
21.55067,84,3348.150583
21.903229,72,3352.570488
83.551091,124,3359.612573
34.050093,83,3364.254422
23.448788,83,3373.143599
7.989316,72,3377.420167
16.199936,33,3379.518854
24.422693,91,3385.088647
8.22437,43,3387.883536
23.276316,56,3391.486601
10.410934,48,3394.955862
27.767905,68,3398.80494
18.556901,52,3401.938397
53.522648,119,3408.938904
24.244631,55,3412.442197
8.642743,58,3416.02275
11.16087,62,3419.698435
20.377821,73,3424.294937
19.026866,60,3428.179493
28.007418,66,3432.239782
14.229239,28,3434.058265
23.474999,87,3439.381399
24.435914,52,3442.569309
37.590316,75,3446.967776
23.944882,55,3450.390188
38.704614,83,3455.226798
22.179005,52,3458.385819
30.78246,70,3462.487895
32.650207,60,3466.086777
25.150928,86,3471.109658
12.805994,71,3475.252626
13.976371,94,3480.813036
9.172551,74,3485.137798
43.685328,151,3500.819915
23.389553,80,3508.111093
35.446003,77,3515.413639
12.799324,69,3519.666992
9.094822,46,3522.593049
12.426312,44,3525.669251
28.726288,96,3531.460052
10.247386,65,3535.393532
8.97973,45,3538.004322
12.802757,65,3541.939524
11.651463,74,3546.360236
8.475174,46,3549.141503
10.126662,45,3551.870713
13.488712,74,3556.21862
31.829323,40,3558.750485
15.425137,52,3561.875133
23.574148,58,3565.502646
10.079494,44,3568.25706
18.860159,52,3571.419789
10.962603,47,3574.197113
14.57684,42,3576.821992
19.879527,78,3581.289908
25.151511,68,3585.076581
19.703574,89,3590.096726
32.900961,40,3592.68207
13.382612,48,3595.538145
23.456684,48,3598.40784
43.87266,96,3604.366201
16.877069,72,3609.175507
21.81645,31,3611.291847
17.195271,43,3613.85899
34.983237,81,3618.420228
19.317744,71,3622.275113
22.688714,63,3629.108612
30.553128,81,3633.765233
14.66176,58,3636.989889
16.453867,47,3639.714176
13.539412,46,3642.401063
19.202897,49,3645.261435
11.95846,50,3648.08818
18.435677,75,3652.115928
15.754641,58,3655.240635
7.712789,43,3657.720903
19.472023,90,3662.983942
15.997211,63,3666.546437
20.14805,72,3670.771065
20.589937,47,3673.615857
13.77453,45,3676.42959
11.958154,48,3679.483376
30.934272,80,3684.41787
16.893935,62,3688.197809
16.654071,95,3693.915891
17.166644,59,3697.518783
11.038261,54,3701.032608
15.130844,70,3705.376161
31.930493,89,3713.304933
14.723536,48,3717.141291
6.021928,43,3721.831026
8.025927,43,3725.162813
4.7922,39,3728.213552
15.108537,64,3732.541478
13.532816,30,3736.101895
6.070908,40,3739.39608
7.184012,19,3740.922773
17.269448,65,3747.515292
11.806942,44,3751.452498
18.094379,59,3755.651219
8.380044,50,3759.531128
21.938733,70,3768.157892
25.523531,53,3771.990347
28.356074,88,3777.516722
31.53877,90,3782.831498
34.909606,57,3786.460091
33.181616,73,3791.305948
13.952695,51,3794.625085
11.650067,52,3797.967535
14.672179,71,3802.354925
18.517839,61,3806.307078
10.995765,50,3809.555899
18.802283,61,3813.754296
14.555694,69,3818.103559
8.639919,80,3823.089741
23.591832,64,3827.270462
17.027035,100,3837.834813
35.731141,81,3845.293956
41.887732,72,3852.033787
14.773212,49,3855.001612
42.537226,73,3859.319005
18.813681,53,3862.525909
10.166368,46,3865.29011
11.342185,47,3868.02398
13.432228,48,3870.946938
12.995566,50,3874.055107
12.667804,47,3876.977961
15.080027,49,3879.934649
43.281999,74,3884.209217
13.844268,48,3887.109049
