#{"t_start": 1660600140.1209116, "env_id": null}
r,l,t
16.958406,132,16.170901
29.808978,314,63.988706
38.53906,264,115.188653
27.872612,167,148.378446
48.433836,289,212.006667
45.801914,400,295.135405
33.698155,400,371.93059
74.178226,434,555.674785
47.458386,400,615.410007
37.802518,400,700.084929
8.892805,68,711.124161
48.893337,400,790.485703
37.216286,197,825.562402
39.106437,275,895.331778
36.824084,172,926.617648
50.658055,400,990.772089
46.653044,400,1069.44797
27.283778,190,1118.266891
15.439822,142,1149.662571
26.535817,223,1197.429272
56.390544,269,1253.020838
56.22667,455,1470.971736
23.755118,194,1504.926856
15.995657,111,1525.460696
11.695597,52,1537.243047
33.18189,329,1613.636552
22.028147,144,1650.381906
27.170074,184,1704.057234
20.046914,156,1745.960875
24.632419,155,1786.761471
19.700337,69,1803.16469
119.483267,510,2012.59579
11.032271,36,2020.670865
29.959742,200,2072.031446
16.394521,80,2091.16226
22.857853,119,2121.569141
6.691003,28,2127.73186
39.020522,219,2183.361284
13.02008,79,2203.775168
15.605323,133,2235.648077
35.333103,311,2322.422522
14.651054,130,2351.58484
8.707231,70,2363.444055
8.476273,78,2377.110174
13.947823,106,2398.301882
3.101446,20,2401.618141
3.653729,27,2405.937616
8.529174,40,2412.626739
24.412651,93,2435.66548
9.602646,16,2440.242324
10.421233,43,2450.21337
2.480356,22,2454.830347
2.320834,23,2459.779412
2.237928,23,2464.447079
3.425524,29,2469.753036
8.870565,55,2478.325142
7.795568,44,2485.105299
7.744179,54,2496.209893
8.518018,89,2510.697113
12.944612,77,2522.771075
4.224331,30,2527.631887
5.578899,66,2537.478232
2.566328,30,2541.915982
2.262505,30,2546.41613
3.284826,29,2550.759855
22.396634,215,2593.755439
13.813732,75,2605.704108
6.120377,48,2613.434815
5.379785,40,2620.071213
2.610634,29,2624.718269
1.815943,20,2628.015533
1.799615,25,2632.65661
16.124856,169,2660.340297
2.093866,27,2664.375803
1.410358,19,2667.15234
1.01962,15,2669.369172
1.122156,14,2671.350579
1.326159,15,2673.556218
1.208493,15,2675.764292
1.204306,15,2677.943543
1.146773,16,2680.254348
1.590394,21,2683.199495
1.370877,16,2685.607641
1.871883,23,2689.636602
1.813827,24,2694.103647
2.357768,28,2698.343381
6.683646,68,2710.817448
8.781459,60,2722.054476
8.997255,60,2732.736271
10.775839,55,2742.392573
27.239341,82,2758.642414
68.330493,144,2799.623398
30.337749,75,2819.900467
43.682655,123,2850.002023
18.949345,83,2869.496611
20.062526,64,2883.01821
18.403045,52,2891.712473
14.502528,59,2902.380007
17.212238,54,2913.997022
13.623065,48,2923.091156
14.294368,44,2931.413519
8.831637,38,2938.600864
7.649145,35,2944.89571
14.40706,63,2957.388821
14.208896,54,2967.737166
14.637677,26,2973.032798
23.330793,34,2980.385037
18.471488,57,2991.799583
6.186678,11,2994.162081
20.114474,82,3012.158078
26.102957,29,3019.410611
29.244204,87,3040.459732
28.574729,61,3056.502368
29.446327,61,3068.301638
6.471918,47,3076.637192
14.138714,94,3099.569431
14.554071,46,3109.337167
11.451218,14,3112.101038
13.788243,43,3118.944244
20.622446,100,3141.93253
21.877302,78,3162.260408
20.470038,21,3165.877457
30.889504,44,3173.818514
27.813818,52,3185.149594
18.073086,33,3191.309257
14.589696,41,3198.725346
62.911859,124,3225.715952
21.118516,44,3232.91208
16.108389,41,3239.929306
20.438604,42,3247.735134
13.677055,41,3254.848813
13.04256,39,3261.470095
20.181007,23,3265.968057
19.284583,46,3275.584853
17.945114,48,3284.435483
17.931285,40,3291.422693
16.112932,41,3298.046631
19.614744,41,3305.171142
21.536529,21,3309.789327
21.768764,24,3313.964764
18.046908,43,3321.617342
21.018085,43,3328.858572
18.830911,20,3333.347106
16.470256,19,3337.19797
20.277985,44,3346.340575
16.844739,47,3355.839289
33.463007,372,3472.458868
20.087081,50,3485.87234
16.751578,49,3498.536805
16.327811,43,3505.607045
22.838896,34,3512.518997
41.972366,40,3521.120975
38.696538,64,3535.819191
33.267729,56,3548.652344
32.729898,77,3564.655235
31.487902,59,3576.660662
55.229963,71,3595.870592
19.763913,64,3608.944809
24.251018,77,3621.439418
15.351798,40,3627.983665
7.197793,36,3635.967354
16.303687,39,3642.279818
28.892703,53,3653.580807
53.19919,87,3674.737643
20.631938,39,3681.687863
14.879582,32,3686.969338
13.404751,34,3693.395388
11.47711,35,3699.353332
18.642618,35,3706.061834
20.805586,45,3713.677331
36.46012,55,3724.028682
40.65259,67,3738.666521
25.182606,81,3755.393184
26.381651,140,3780.247562
21.764688,67,3794.088171
10.419801,25,3798.504078
13.993581,39,3805.481853
24.006366,59,3815.86701
28.194746,30,3821.699597
20.997246,45,3829.45347
30.712807,71,3844.636805
27.467907,27,3849.344775
18.393452,44,3856.955929
27.164104,61,3868.718542
40.087544,64,3879.694898
22.890241,44,3886.464694
23.789386,45,3893.200855
27.668568,47,3900.827044
21.598051,24,3906.747479
17.163065,46,3915.109961
21.913724,26,3920.279563
25.373888,48,3928.469295
39.017729,142,3962.523472
30.401884,52,3972.271631
20.091906,27,3977.127407
22.83261,48,3984.580915
21.580343,26,3989.207552
15.088524,45,3996.486839
14.604223,20,4000.108441
26.531143,48,4008.598284
21.297122,47,4017.876293
54.448529,170,4063.724964
48.502053,72,4082.023505
42.260959,62,4097.67811
47.187398,65,4110.365546
17.573449,48,4119.039742
26.353616,48,4127.78038
27.537149,49,4136.893174
28.188939,45,4145.213246
31.122317,46,4154.392442
24.17049,49,4164.596366
19.630905,54,4172.686
37.690891,61,4182.140207
26.369468,64,4197.012148
24.412671,47,4203.808076
17.006913,42,4209.91156
18.42208,48,4219.848782
21.785584,54,4231.05005
43.903522,73,4246.728313
36.989696,56,4259.147832
67.332636,72,4272.794943
65.575873,75,4287.308458
29.055113,67,4298.86163
45.482915,61,4308.595793
32.049282,84,4323.73033
29.860424,66,4335.485125
32.920882,54,4345.771246
20.41656,50,4353.442468
27.975635,58,4362.891404
18.431619,50,4371.139628
26.563881,60,4380.14182
42.910446,89,4395.420357
26.212766,67,4406.138013
31.93132,69,4417.848324
48.148139,86,4438.156538
49.158172,71,4456.051841
50.682921,60,4470.195031
38.649974,60,4483.665221
30.2891,60,4495.378826
27.938058,68,4507.578038
22.251121,67,4521.463444
15.213001,42,4530.765021
27.931094,51,4540.175852
16.107757,56,4549.39798
37.347495,56,4558.487846
46.872229,205,4613.204275
26.83939,60,4621.219823
80.766668,104,4635.171592
25.316798,107,4658.658115
39.805592,57,4666.344027
29.732767,52,4674.858494
76.853327,167,4703.44016
36.371579,54,4710.680184
75.992441,166,4746.537551
50.690952,89,4764.18265
57.845647,70,4775.938053
63.694795,101,4792.84756
42.890061,65,4802.650197
113.397834,117,4822.912593
83.056346,141,4850.711667
54.115859,61,4860.217913
20.850991,47,4866.058317
74.362512,76,4878.110323
48.374978,63,4886.135303
51.260491,82,4901.262942
44.572794,60,4909.019296
46.400097,70,4919.176132
94.154505,91,4932.696954
62.123866,77,4945.192527
58.47229,75,4954.130489
37.30726,55,4962.887439
68.211545,84,4976.43224
25.037682,56,4982.953533
