#{"t_start": 1660121237.060807, "env_id": null}
r,l,t
3.354731,400,58.092719
1.545254,339,93.809244
2.959083,288,133.200876
1.980227,139,154.48121
0.906513,400,211.277948
0.954153,338,257.961654
5.038886,281,395.519207
0.600384,400,459.896699
2.750716,400,514.905606
4.591592,291,581.200371
2.283501,244,632.56811
0.564473,400,722.666213
3.61832,221,874.416597
0.01574,32,877.735906
0.015732,24,880.307033
0.015747,36,884.029082
7.776427,164,906.178907
0.017362,66,913.373697
3.074941,124,931.912585
3.985485,119,950.44513
0.015733,302,1003.112092
0.015904,56,1012.373616
0.017501,85,1026.49188
0.015856,73,1038.225518
0.045541,230,1073.471075
4.351456,374,1154.764898
2.313116,428,1285.31625
2.02814,392,1348.240466
7.178528,313,1398.936879
7.20344,297,1449.006835
0.589878,183,1477.490862
2.412714,65,1487.509865
2.566615,87,1497.543361
3.246014,141,1517.438108
0.829669,79,1527.923615
0.520089,378,1590.223715
5.227652,163,1615.005356
2.432724,128,1635.061852
0.922681,95,1647.879146
5.854643,340,1707.726158
3.579799,213,1756.422734
3.874602,77,1771.38391
3.828393,51,1781.532603
12.696797,208,1821.771653
0.457416,49,1830.993388
3.135211,214,1870.301476
2.496986,25,1875.079719
3.65527,126,1901.11213
6.705259,39,1909.513421
12.935723,169,1955.072903
10.516869,86,1973.355163
6.058797,50,1983.616788
8.836414,92,1999.48866
7.803129,88,2013.136454
6.493315,49,2021.309554
12.499638,142,2044.36133
8.231551,110,2062.289567
18.534882,132,2083.618723
4.281943,97,2098.327028
11.036701,116,2117.880698
4.409968,119,2135.065253
1.497319,66,2144.880332
4.14894,49,2153.610331
0.844245,80,2164.870175
2.455156,20,2168.685833
0.019032,41,2174.336701
3.535792,20,2177.344659
1.527061,10,2178.962333
1.26606,45,2185.310543
0.545187,55,2193.01962
0.017687,71,2202.752602
0.018801,75,2213.348276
0.015843,40,2219.915195
0.107589,17,2222.876362
0.015873,112,2240.64957
29.838013,121,2263.452617
23.141147,95,2288.746637
9.691225,103,2307.384159
20.741849,75,2319.737987
13.230378,106,2337.123588
19.436987,73,2349.798977
13.538422,73,2361.955451
16.276887,84,2376.264066
24.584324,96,2392.693589
27.269913,69,2404.452588
19.200161,66,2415.570245
6.807055,43,2423.095276
8.461009,39,2429.458266
3.568138,40,2435.42631
2.995363,37,2440.633899
6.742945,38,2446.296761
10.086495,36,2451.906767
6.366022,36,2457.006132
14.417012,37,2462.331897
13.912342,38,2468.195181
8.79441,36,2473.421211
12.683512,37,2479.105017
15.208944,41,2485.08802
13.190095,64,2494.216616
13.979725,46,2500.777081
9.942087,50,2508.105023
4.523763,34,2513.152077
1.759201,34,2518.044967
3.902793,41,2524.251374
6.216139,46,2531.500568
6.438963,41,2537.683042
6.800533,50,2546.306059
7.835678,39,2552.705952
4.68215,50,2560.927073
0.849115,43,2568.257661
4.164659,52,2576.394594
7.868552,41,2582.721681
3.414646,38,2589.923028
10.117004,83,2606.052725
7.700114,50,2615.861054
12.589528,45,2623.007653
22.386676,98,2642.832797
4.54918,45,2651.456824
7.781535,42,2659.668005
6.638745,42,2668.238481
4.62079,44,2677.765832
6.146194,35,2682.952339
5.344845,44,2692.364194
4.961157,40,2700.763506
5.354826,46,2707.707574
10.833571,41,2714.854614
20.880565,54,2725.194666
16.529444,52,2735.124673
26.59454,89,2752.660279
30.143214,60,2761.914538
19.867213,56,2771.676126
13.226406,50,2779.282791
29.821138,114,2801.809392
32.944405,62,2814.361887
20.654299,86,2830.726845
16.872492,82,2845.01118
16.795675,57,2854.546632
21.472153,60,2863.721079
10.195051,49,2870.882933
5.311851,19,2873.976214
4.955481,37,2879.156318
5.384937,35,2884.103094
4.691314,35,2889.001997
5.683039,36,2894.046514
5.156964,36,2899.308773
4.260533,36,2904.282478
19.074686,42,2910.259499
10.886336,42,2916.582035
12.30307,47,2923.281129
8.496216,48,2930.082945
7.107353,43,2936.613546
12.621584,45,2943.44341
36.976398,77,2958.680835
12.789894,50,2966.121919
15.462932,92,2982.934535
20.484353,56,2991.755542
11.177216,44,2998.679035
13.75673,44,3005.354192
15.572057,45,3012.507068
16.567974,49,3019.977099
17.843226,53,3028.079439
17.717647,65,3039.317019
17.098886,46,3046.38213
26.945939,63,3056.282693
20.645332,111,3076.377028
46.718114,72,3088.044306
36.076187,68,3097.876023
13.691005,47,3104.437481
16.850284,56,3112.443079
18.615861,52,3119.859253
12.054295,43,3126.063668
18.329365,43,3132.162364
18.191512,53,3139.760053
14.252469,68,3149.275615
12.176423,54,3157.063795
12.314949,57,3165.136216
15.671874,62,3173.94068
14.600329,65,3183.212927
14.674643,74,3193.922265
13.483888,62,3202.999946
14.442234,69,3213.280974
14.360058,44,3219.966103
13.785182,46,3226.662232
14.952555,48,3234.795895
17.078718,35,3240.140607
35.363318,343,3318.162593
36.145054,80,3330.904888
10.613736,55,3338.940995
13.117096,55,3347.237261
13.081419,55,3355.386865
13.333003,58,3363.949775
9.355686,65,3373.72259
16.901905,56,3384.220823
19.492188,184,3412.926633
0.177249,19,3415.959484
0.696152,17,3419.004633
2.069189,31,3425.40535
0.611096,122,3447.662564
0.724272,157,3477.389975
0.090833,373,3548.062788
0.017032,31,3553.931099
0.018128,30,3558.866904
0.015974,48,3567.209511
0.015958,36,3573.388991
0.015906,37,3579.551516
0.015873,34,3585.032865
0.015394,35,3590.420461
0.017788,31,3594.923425
0.01859,29,3599.250884
0.018684,33,3603.987194
0.016041,28,3608.55598
0.017546,24,3612.322912
0.018142,31,3616.929625
0.035084,38,3626.456179
0.017553,29,3632.383334
0.018975,28,3637.921532
0.017596,28,3643.347026
0.018393,25,3648.147194
0.018511,29,3653.669431
0.019179,24,3658.377845
0.018129,26,3662.745225
0.018234,28,3666.691674
0.018838,30,3671.000158
0.018891,26,3674.94162
0.018683,24,3678.664666
0.018849,28,3683.157656
0.018999,26,3687.124055
0.018489,27,3691.196198
0.017975,34,3696.647593
15.128908,151,3720.744178
17.909456,55,3729.76298
25.195437,68,3743.193586
32.538639,118,3767.40532
23.870675,79,3782.695778
48.954434,96,3802.229857
40.765723,84,3815.595132
43.447732,129,3836.29283
56.126129,130,3858.060119
23.20884,100,3874.489044
24.952572,126,3895.141763
30.896626,116,3913.653691
24.610343,86,3926.021914
21.242267,138,3945.43983
27.117398,71,3955.652952
40.773931,160,3989.672631
48.724452,107,4007.271943
48.274362,106,4023.909439
44.229892,97,4038.587187
28.996744,82,4051.514184
29.872072,80,4064.403327
45.581569,97,4079.100026
33.564934,109,4094.501889
30.09073,142,4115.229207
63.217479,135,4134.821403
40.160421,110,4152.065257
29.013076,85,4164.681751
56.40887,163,4188.24883
24.841212,140,4207.6795
19.286154,108,4223.321044
19.816489,71,4233.559673
13.796213,63,4242.620823
4.39597,47,4248.961842
3.37131,39,4254.312538
3.868569,37,4259.405923
12.99426,76,4272.521217
6.20418,38,4277.800105
9.211283,48,4284.540336
6.767417,43,4290.464502
9.575078,47,4297.064855
9.551551,55,4304.675511
8.806006,58,4312.826721
14.743479,77,4324.60391
11.243758,78,4336.116534
40.9626,96,4350.258716
19.568756,57,4359.042182
12.740734,44,4368.718451
13.053998,43,4375.756778
6.594323,34,4380.54099
5.142102,31,4384.756719
5.558583,30,4389.057223
6.326278,30,4393.307862
6.279197,32,4397.736022
6.38676,32,4402.695989
6.207558,30,4407.015442
6.367728,31,4411.581237
7.629069,33,4417.446704
7.151065,31,4423.279505
7.629445,32,4429.924782
6.539971,33,4436.15442
8.820437,41,4444.785831
9.176021,39,4452.836778
11.986162,41,4461.862407
8.001975,64,4474.350612
9.735401,227,4528.062364
6.365751,227,4579.789994
25.272557,296,4650.04404
9.658933,43,4655.875453
11.7741,22,4659.154714
13.74933,43,4665.022998
16.685199,43,4670.926217
14.1445,45,4677.133623
12.367501,41,4682.80546
11.933499,43,4688.72763
13.274683,44,4695.011773
19.354077,50,4702.570046
21.922597,57,4712.043011
14.661431,42,4718.231466
21.451789,51,4726.995486
16.88231,43,4733.737243
14.458889,45,4741.384412
22.670428,48,4749.180216
21.427005,44,4755.93589
15.569842,42,4762.43751
10.514285,42,4769.328249
13.358951,39,4775.488167
6.088626,39,4781.858137
8.204086,39,4788.631955
9.685295,42,4795.830436
11.505618,39,4803.268272
7.895619,41,4809.977276
10.563956,43,4816.417346
7.736064,48,4823.642493
11.324697,43,4830.094245
11.493416,46,4836.627779
9.093312,43,4842.83219
7.184271,43,4848.917923
9.72424,40,4854.675531
4.346211,39,4860.409234
5.187033,40,4866.169803
7.223904,43,4872.418099
8.765564,42,4878.360216
6.861673,40,4884.225767
4.3034,40,4890.146954
6.194857,40,4895.887606
11.482244,40,4901.493621
11.259235,43,4907.625228
16.617838,61,4916.432683
13.120987,84,4928.765714
14.065362,58,4937.097596
11.740366,55,4944.74216
12.396187,53,4955.851176
14.414661,52,4963.350126
13.312389,51,4970.695492
12.135465,50,4977.846375
11.674868,48,4984.685121
10.432517,52,4992.230923
9.876153,51,4999.735859
10.853018,52,5007.7901
11.731976,49,5015.947291
13.600129,52,5024.573224
10.944077,54,5034.243373
12.85911,43,5041.273232
11.060311,28,5045.836654
11.598612,28,5050.330213
10.662248,26,5055.185317
10.053454,29,5060.303496
10.797269,27,5064.864558
9.83438,27,5069.356759
10.422788,27,5073.859722
12.416399,31,5079.626662
11.771191,31,5084.86082
12.058506,32,5090.51132
11.525031,38,5097.574993
12.644298,52,5106.975861
15.842283,61,5117.820501
7.501165,51,5128.021414
40.08172,79,5141.498814
13.078199,47,5151.947361
23.330206,47,5161.447908
20.598295,44,5167.85777
29.253004,54,5181.451322
25.146685,51,5189.708584
20.310932,48,5200.009588
21.691745,46,5207.540754
23.606313,50,5215.935024
12.115402,63,5230.277986
24.702672,56,5243.982468
24.04812,59,5259.487882
20.728405,57,5272.630549
17.666489,52,5284.324025
23.774894,54,5297.706452
27.662716,54,5309.447775
33.287692,71,5339.571375
26.840697,65,5354.382028
19.723506,56,5368.882972
15.501232,63,5385.172955
23.644188,55,5396.384512
18.721524,45,5404.971516
21.238405,44,5413.260424
21.540208,68,5428.075228
29.310225,67,5442.314088
19.71611,66,5455.736353
27.242494,60,5467.43621
26.855181,69,5481.793683
35.851922,48,5491.30596
30.568409,63,5503.603687
14.736145,72,5517.900396
36.5432,65,5532.690196
17.659652,63,5544.851943
25.061014,59,5555.908255
18.179419,51,5565.039956
26.545587,59,5576.442117
27.272986,54,5585.78333
30.968872,51,5595.334625
24.007672,86,5611.741438
14.790911,26,5615.847461
28.736192,85,5631.570106
22.425331,66,5641.79628
23.511149,63,5653.536225
34.614799,382,5746.099228
36.400227,100,5917.167732
28.328563,92,5931.820203
17.981132,74,5942.975624
8.290348,45,5949.547031
21.302003,60,5959.100681
10.536421,47,5965.541529
5.265496,55,5974.34967
14.473978,49,5979.363268
21.317823,49,5988.10485
17.289289,56,5999.537569
17.462059,47,6006.787748
17.631225,66,6018.272253
39.858592,46,6025.927077
44.55896,66,6038.568866
28.958322,51,6043.378406
20.671688,48,6048.12354
20.270435,47,6052.680358
14.533328,19,6054.768243
14.446247,22,6057.431459
18.894567,45,6061.633225
12.270041,43,6065.462987
16.839239,47,6070.074663
18.151908,42,6073.80173
21.050303,44,6077.956593
17.498005,41,6082.463545
17.858642,43,6086.927611
15.549501,26,6090.301311
10.327926,16,6092.183253
13.241068,21,6094.725414
15.967306,42,6098.503214
12.526445,43,6103.29042
15.979086,41,6109.700283
15.857729,41,6115.900705
16.533969,41,6121.884711
20.270066,45,6128.439188
17.893368,42,6134.924848
20.717451,43,6142.958116
17.484318,45,6150.108029
27.299137,52,6163.747655
21.460539,46,6173.713795
21.076728,46,6181.11897
31.499083,56,6195.166222
66.987162,138,6229.975093
53.312652,76,6247.140894
59.588871,78,6259.132608
48.973196,113,6284.673109
20.146349,60,6295.98583
23.718428,70,6310.647099
49.707641,72,6325.507097
49.645625,90,6344.587761
41.223402,119,6370.654752
55.284668,86,6386.400678
20.675828,67,6399.549852
23.390632,57,6410.561846
21.853785,50,6420.937516
19.771641,52,6435.623555
21.19972,55,6451.271177
23.648807,66,6466.648773
24.038443,71,6480.110078
24.963301,67,6492.812387
23.582008,66,6505.016177
17.240419,69,6518.146597
17.257126,65,6530.098921
24.372702,73,6546.115075
20.315575,71,6561.015627
27.130984,112,6587.462072
19.953096,46,6594.106875
12.993644,44,6601.495766
6.386432,40,6608.238808
10.448473,40,6614.782657
13.360277,33,6624.710069
5.779548,36,6630.416762
4.964523,17,6633.71095
3.042666,13,6636.166129
2.399515,13,6638.685642
1.973083,28,6643.020405
1.765072,26,6647.291016
1.877554,27,6651.673301
2.277163,26,6655.61975
2.29799,27,6659.70483
1.635401,29,6664.244175
3.328555,34,6669.975282
3.120262,14,6672.618259
3.081913,17,6676.026332
2.634983,31,6681.128024
2.669954,12,6683.509656
0.962825,10,6685.416023
2.239743,29,6691.137055
0.673379,8,6692.751826
2.46393,30,6697.771395
2.544815,32,6702.820271
2.33086,15,6705.904735
1.07372,26,6710.598665
0.307869,25,6716.564466
0.370652,24,6720.799083
0.319446,24,6724.939012
0.013318,23,6728.525424
0.017272,22,6731.880455
0.018795,20,6734.810622
0.018766,19,6737.552294
0.018917,17,6740.036651
0.018521,17,6742.507048
0.018462,18,6745.147991
0.018187,18,6747.734077
0.018473,18,6750.349085
0.018259,17,6752.805517
0.01817,18,6755.439505
0.018059,18,6758.050496
0.017985,17,6760.523886
0.017998,18,6763.178787
0.01827,18,6765.820243
0.017984,18,6768.484736
0.018216,19,6771.256326
0.018101,19,6774.011961
0.018124,19,6776.764601
0.018959,22,6779.923155
0.018447,21,6783.117617
0.018089,23,6786.715996
0.018643,21,6789.947359
0.018061,27,6794.019472
0.069438,36,6799.430457
2.674166,79,6811.294402
8.301876,66,6823.440952
13.82114,42,6830.980842
20.776938,80,6843.77697
16.916148,56,6852.340079
13.225061,43,6858.957388
14.123456,42,6865.311412
14.68025,39,6870.991229
16.447608,40,6876.912399
20.832888,43,6883.266413
16.423945,44,6890.026341
13.028163,48,6898.058193
15.60252,52,6905.822433
11.690699,20,6909.518696
12.232035,21,6913.499732
11.216711,17,6916.475065
10.478679,15,6919.079897
10.306232,16,6921.855807
9.812935,18,6924.808372
9.396218,16,6927.490288
9.729833,16,6930.330125
9.325049,13,6932.553617
10.461734,21,6936.454472
10.261823,16,6939.170211
10.036985,16,6941.85391
8.751486,13,6944.136807
8.584731,14,6946.525861
9.835684,17,6951.245625
9.696168,32,6956.336454
9.473477,29,6961.291907
8.386878,27,6965.835501
8.221286,28,6970.533564
12.891416,55,6979.374229
19.092367,36,6985.651359
15.247213,27,6990.415407
18.229781,46,6999.091475
10.832637,22,7002.837168
23.485338,110,7020.425962
4.270351,35,7026.61814
1.490154,33,7032.277817
4.848711,29,7037.576196
5.508298,26,7042.765235
0.939102,28,7048.265031
0.461003,27,7053.759111
0.018014,26,7058.842645
0.017606,26,7063.809807
0.015761,25,7068.838598
0.015732,26,7073.650042
0.017904,25,7077.91723
0.017989,26,7082.369329
0.017881,27,7087.015996
0.017856,28,7091.578388
0.018022,28,7096.232812
0.015732,35,7101.949975
0.018037,46,7109.157703
0.018067,46,7116.178935
0.018082,47,7123.234074
0.01574,34,7128.448921
0.017811,38,7134.177609
0.015748,28,7138.418271
0.015743,27,7142.788587
0.015751,26,7146.959439
0.015762,24,7150.80017
0.018385,26,7154.789507
0.015762,28,7159.450046
0.015236,26,7163.764514
0.016756,30,7168.562663
0.01577,31,7173.496841
0.018442,50,7181.181299
0.01736,136,7201.850043
7.12585,81,7215.545104
18.499469,90,7229.465107
24.584184,102,7246.110843
10.195614,62,7255.787078
7.950548,59,7265.367959
31.79482,163,7308.168219
28.505028,89,7328.629564
41.463918,94,7346.970307
37.507086,81,7360.066269
46.569242,82,7373.59624
33.144835,115,7395.609312
51.411403,143,7421.847167
36.057574,107,7441.448372
20.71503,77,7455.243184
37.088315,73,7468.28004
95.310279,111,7489.977607
42.397136,107,7507.679201
46.820041,72,7519.858211
19.931962,58,7529.436111
26.587578,70,7542.265712
35.833708,105,7559.73166
16.157796,55,7567.905807
17.801109,57,7576.20562
16.579136,59,7584.848516
17.163767,64,7594.626377
16.969455,55,7603.669203
10.486292,55,7612.10166
43.112263,64,7621.673075
16.785714,56,7629.850213
23.513652,57,7638.548191
38.741864,78,7654.335696
40.830244,71,7666.298715
26.951838,77,7678.818247
26.123956,70,7691.028159
32.310486,62,7701.989967
31.926398,63,7712.883473
28.282641,66,7726.004261
28.110101,68,7737.053694
19.251993,69,7749.637923
24.058177,60,7760.359092
33.305631,79,7774.627119
26.276271,81,7788.544791
29.917183,93,7804.404723
42.717341,74,7817.092116
36.93879,69,7828.639123
34.439846,74,7840.998264
81.971115,111,7858.782019
29.61632,72,7870.649067
18.453769,70,7882.095356
33.636101,68,7892.696044
42.193607,79,7905.119977
30.388798,68,7915.395821
50.997203,148,7939.071719
48.558905,124,7959.330835
21.42581,96,7974.000156
76.321722,115,7998.517433
16.323744,40,8004.340865
15.191577,40,8010.140362
12.708023,39,8015.794247
12.728409,39,8021.784234
11.240083,35,8027.578743
16.070713,39,8033.664475
13.495299,43,8040.016958
12.640255,38,8045.996973
9.292502,40,8052.039817
14.83313,46,8059.313373
22.358692,98,8074.672042
14.642827,40,8080.673997
25.749113,108,8097.869148
15.826823,40,8103.744441
25.361757,51,8111.456825
24.453824,49,8119.605124
19.556503,45,8128.124533
9.841041,37,8134.596234
30.190123,57,8145.118454
10.196802,35,8152.534797
23.351935,56,8164.418951
16.579184,39,8172.579024
29.918062,54,8184.695848
23.179333,45,8193.267934
17.437309,36,8199.536176
10.54478,33,8204.845983
28.397338,48,8212.543405
22.686284,44,8220.254792
30.464678,89,8235.822162
30.190556,49,8243.637164
22.632598,43,8250.195632
10.021861,34,8255.487646
17.765668,45,8263.32523
11.562055,41,8269.917604
17.790639,44,8276.810788
20.703867,57,8285.919386
28.082934,96,8302.043434
19.652311,56,8310.332307
0.179875,23,8314.027396
38.376047,77,8330.865263
21.385863,76,8344.853177
15.251461,47,8352.149673
14.701333,44,8358.862725
10.913199,45,8366.779432
10.865126,53,8376.188011
8.645152,42,8383.327925
5.169988,39,8390.876402
6.542114,43,8398.704148
5.840849,43,8406.330505
6.868337,45,8413.988371
6.871815,45,8421.679295
7.835586,45,8429.037623
5.815029,41,8436.260468
8.080279,47,8444.257825
8.185015,45,8451.906098
8.791395,48,8460.151689
10.953164,48,8468.339392
8.063166,44,8476.195211
7.735506,45,8483.55993
7.20292,44,8490.612331
8.029525,43,8497.345294
8.767018,50,8504.904691
6.780352,50,8513.129077
6.15067,55,8522.427221
16.727648,120,8546.026459
14.875102,256,8600.318506
24.828895,114,8625.25598
10.561987,76,8638.458373
12.473751,86,8657.756346
22.053562,51,8665.636324
19.135277,52,8673.238999
24.583834,50,8680.55544
37.376387,65,8693.49995
17.52695,52,8701.002893
24.657193,57,8709.131165
22.305581,46,8715.7774
23.426418,59,8724.101145
24.706117,52,8731.445513
23.36574,59,8739.88196
22.65946,63,8749.011554
31.614655,63,8757.94567
27.682977,61,8766.5756
24.981345,57,8774.731796
25.671391,58,8782.896969
28.159737,76,8793.566447
25.34315,83,8805.129534
26.9388,76,8815.674345
25.532481,90,8828.181909
22.078509,91,8840.872982
