#{"t_start": 1660310506.654374, "env_id": null}
r,l,t
24.351596,314,65.763248
27.901189,335,111.917582
19.844015,240,145.267114
33.084129,400,198.308837
50.490244,400,236.880803
28.653141,302,276.31412
18.298774,201,312.617209
17.540688,154,328.524453
3.679576,32,331.719094
7.121474,108,347.197812
32.104062,344,389.8782
25.901863,211,410.145139
36.351563,350,452.503985
23.997682,175,470.263404
21.119016,144,486.960037
21.75206,170,504.291424
38.12014,286,546.559094
16.965749,222,575.324748
11.30029,38,579.118423
24.926884,110,589.942487
16.806865,127,604.474559
22.508365,259,641.378324
20.558399,204,672.806052
7.201226,63,680.791613
10.207095,86,690.583496
11.367216,78,698.22841
2.644764,29,700.671572
2.675248,26,702.972919
4.959254,43,706.858783
38.000967,400,760.876986
29.874772,250,794.717735
7.660372,25,797.108835
17.947169,170,817.006659
12.235765,82,824.806571
26.945285,330,870.831846
8.923636,67,877.797005
18.932447,107,887.872757
10.432064,37,891.447966
21.432451,177,910.584349
17.595557,122,922.533717
24.756211,297,960.735693
17.023883,161,979.475266
67.355684,685,1243.46939
18.901176,206,1267.825549
6.823397,68,1274.003443
11.980473,125,1285.378724
26.095303,259,1317.590303
19.713856,166,1334.28833
38.297402,368,1376.693969
37.289711,392,1431.877407
52.397062,434,1493.157966
21.034944,169,1510.139383
15.849649,111,1521.083439
14.751917,120,1535.165944
20.464069,171,1557.55027
7.093549,37,1561.088266
27.588064,297,1600.182371
11.663565,105,1610.238706
19.973938,215,1639.383391
13.56347,131,1656.101372
16.649522,255,1694.678921
14.999018,113,1717.087547
8.303979,68,1723.571015
24.317183,198,1750.686792
18.291252,205,1776.294022
26.990446,310,1817.663096
33.945986,400,1874.395508
27.242343,309,1919.871698
26.677388,344,1970.237003
13.902797,106,1985.872629
5.373662,45,1991.559252
11.261993,149,2015.040932
6.987881,56,2022.175046
9.210116,92,2030.380164
7.575609,67,2037.111615
5.067674,30,2039.810686
3.753745,29,2042.59717
3.193493,28,2045.142355
2.644624,23,2047.086561
3.438153,27,2049.361049
3.551978,19,2051.237375
9.374542,35,2054.960406
2.841417,16,2056.360354
2.89064,18,2057.856637
2.858956,14,2059.68953
6.561298,126,2069.519134
1.481051,14,2070.710277
1.65733,13,2071.917756
1.545038,13,2073.00762
1.650944,13,2074.200383
1.399456,15,2075.459123
1.494313,17,2077.028184
2.644025,37,2080.183071
2.577558,31,2082.382682
3.345364,54,2087.695817
1.327868,21,2089.67047
2.193641,25,2092.269259
7.395114,77,2100.019996
4.885393,35,2103.838606
6.876141,54,2109.676446
8.011845,50,2114.831421
2.381244,19,2116.573763
2.450131,19,2118.216445
1.87783,14,2119.427579
1.881947,14,2120.743349
1.903175,15,2122.140901
1.524278,14,2123.398588
2.040486,15,2124.748992
1.339621,18,2126.134222
1.106095,17,2127.353924
1.088779,15,2128.42724
1.023606,18,2129.672402
1.274277,22,2131.201919
1.219845,22,2132.738039
1.003893,19,2134.05327
1.17736,20,2135.455065
1.419593,23,2137.038494
2.283761,41,2140.1032
2.315415,29,2142.418004
3.083481,26,2144.383812
2.502286,24,2146.018205
2.861454,23,2147.746034
2.118581,24,2149.440656
1.668698,20,2150.998185
2.231286,24,2152.786469
2.510614,23,2154.551782
1.749502,20,2156.127762
2.769432,21,2158.047029
2.937491,23,2160.240961
2.415244,22,2162.119948
3.612687,25,2164.416922
2.67291,25,2166.719675
6.912542,54,2171.673497
6.113308,22,2176.451973
8.01956,40,2179.887794
