#{"t_start": 1660176002.0609698, "env_id": null}
r,l,t
0.061665,229,57.934844
0.959005,274,93.57088
0.151072,400,153.866647
3.337254,400,221.764744
0.197249,157,242.343787
0.059132,243,279.999565
0.194302,264,315.368353
0.26986,169,351.132539
0.139057,400,418.472917
1.184948,227,455.715106
0.290531,171,481.984902
0.73035,133,500.964772
0.052602,156,518.038984
0.051914,153,538.809152
1.143324,238,576.659059
1.457917,197,609.232241
0.387458,160,626.76399
0.356321,338,758.013354
0.461098,400,826.271983
0.617138,194,847.548676
0.466748,400,921.820104
0.063445,279,963.200372
2.588443,245,1004.316588
2.795982,573,1107.795791
3.120983,400,1175.993922
1.072822,400,1239.602135
0.053628,356,1291.260596
0.044316,179,1316.120046
0.606148,430,1382.013012
0.118543,168,1400.960838
0.54156,201,1430.283052
0.195729,132,1447.745382
4.482781,335,1499.985609
1.038646,351,1559.755812
0.421042,254,1599.668491
0.559269,147,1619.093549
0.075326,79,1627.490398
2.75961,158,1655.473852
0.111171,76,1671.307523
0.102138,97,1688.715388
0.047864,111,1707.293761
0.066369,40,1711.076179
0.07547,96,1723.351126
0.145018,381,1799.146025
0.23791,160,1824.676029
0.048286,128,1839.617952
0.059517,98,1850.13443
0.078342,89,1857.309231
0.058447,67,1863.707655
0.06912,69,1870.487416
0.065759,26,1873.439277
0.057662,27,1876.594127
0.070757,27,1879.700808
0.053843,51,1884.794897
0.065395,38,1888.578456
0.056597,28,1891.943752
0.06113,30,1894.879392
0.065379,27,1897.972725
0.061033,27,1900.747416
0.060815,35,1904.193432
0.062401,37,1908.073512
0.068483,46,1912.709036
0.051929,41,1917.225833
1.532676,76,1929.007075
2.31285,181,1976.132469
3.079984,73,1987.180561
0.66372,213,2023.671002
0.918312,158,2052.571246
0.055116,139,2071.709616
0.824132,28,2074.528266
1.251176,138,2102.533165
2.775016,21,2104.689492
2.748458,268,2143.121159
0.082294,74,2148.188058
0.072813,26,2150.054865
0.080507,38,2152.771612
0.077386,31,2155.080596
0.077395,27,2156.975008
0.078239,22,2158.578787
0.076785,24,2160.319352
0.082262,28,2162.428024
0.073324,32,2164.897006
0.088671,38,2167.586465
0.085952,70,2172.5537
0.08569,141,2190.505794
0.060898,30,2192.959803
0.08248,33,2195.496618
0.084107,26,2197.600064
0.073392,22,2199.429306
0.078424,24,2201.309246
0.076132,23,2203.195967
0.073707,30,2206.015147
0.081855,29,2208.346375
0.082954,26,2210.342734
0.082274,27,2212.503232
0.086989,30,2214.741972
0.154937,51,2222.904381
0.085565,44,2226.275573
0.087657,35,2229.032704
0.085037,38,2231.966719
0.08537,41,2235.169834
0.082192,43,2238.263475
0.174245,60,2243.017776
0.481834,107,2260.510849
0.075457,69,2266.048632
0.059973,66,2271.26211
0.066612,34,2274.385839
0.078045,20,2276.026233
0.056144,19,2277.878302
0.06095,17,2279.631983
0.056964,14,2281.115939
0.06143,18,2282.82641
0.062786,19,2284.22463
0.068461,22,2286.266199
0.066997,20,2287.846704
0.065022,21,2289.615602
0.06543,21,2291.411321
0.051632,21,2293.380552
0.06127,20,2295.139462
0.060927,19,2296.749041
0.066147,24,2298.564235
0.060502,21,2300.00757
0.061597,22,2301.493998
0.061584,20,2302.842019
0.05955,18,2304.105336
0.055828,17,2305.28701
0.055778,15,2306.369143
0.054043,15,2307.460091
0.0572,15,2308.561878
0.056698,15,2311.055977
0.05199,14,2312.496366
0.050822,13,2313.882245
0.052442,13,2315.310242
0.048286,12,2316.699523
0.066914,15,2318.398812
0.049624,12,2319.818956
0.053596,14,2321.3354
0.056049,13,2322.877594
0.071912,13,2324.627326
0.060443,15,2326.647686
0.054491,12,2328.094296
0.060218,15,2329.922249
0.064715,17,2332.02586
0.073119,21,2335.48941
0.075024,24,2337.406037
0.080703,21,2339.143106
0.066149,25,2341.37681
0.060508,39,2345.02476
0.073421,34,2348.3706
0.063176,22,2350.776844
0.082303,24,2353.03239
0.06237,34,2356.619555
0.055324,33,2359.660888
0.076431,49,2364.649923
0.062186,99,2377.027963
0.164392,109,2395.041476
0.057444,84,2405.312985
0.066507,84,2414.982134
0.300899,215,2447.674694
0.059904,83,2456.990405
0.06989,84,2467.199624
0.075596,71,2474.124546
0.049497,54,2479.552892
0.069087,56,2484.927482
0.060327,62,2490.494958
0.521442,110,2504.032342
0.08309,53,2508.305646
0.088096,66,2513.215744
0.252237,64,2518.155571
0.066366,60,2522.675354
0.073674,56,2527.96456
0.073861,78,2533.985745
0.625146,16,2536.01042
0.508729,95,2551.075541
0.926417,124,2568.78848
1.128775,59,2574.20079
0.204962,17,2575.950223
0.663347,78,2582.375737
1.285624,85,2589.105244
1.776379,84,2595.849775
3.748054,400,2713.03614
0.140568,93,2722.097563
0.069359,51,2725.115113
0.072751,58,2728.600327
0.073213,59,2732.205298
0.07462,81,2736.910469
0.07399,92,2742.300439
0.07584,71,2746.48167
0.076311,71,2750.885093
0.072171,93,2756.733115
0.071306,119,2764.25995
1.768474,63,2777.357981
0.995903,52,2788.251765
0.116902,57,2792.645108
0.072408,39,2795.539247
0.068317,31,2797.653814
0.063279,29,2799.552714
0.066836,29,2801.557327
0.067541,29,2803.52068
0.06745,29,2805.62903
0.067971,29,2807.780103
0.063527,28,2809.626951
0.069494,28,2811.554395
0.066779,28,2813.49245
0.059734,28,2815.315657
0.060391,28,2817.148252
0.067603,28,2819.152644
0.06623,27,2821.567122
0.056031,28,2824.258743
0.089699,31,2826.993331
1.378123,41,2830.314086
0.089657,42,2833.253898
0.080598,39,2836.467587
0.191451,35,2839.064541
0.087253,38,2841.768797
0.20668,42,2844.997427
0.087442,38,2847.952425
0.082635,44,2851.495017
0.082072,37,2854.431421
0.07495,31,2856.807102
0.080102,39,2859.782767
0.082288,39,2862.606981
0.089371,40,2865.551544
0.078129,32,2867.851143
0.078775,29,2869.937886
0.071048,21,2871.493918
0.069781,16,2872.724949
0.12486,24,2877.807431
0.060131,13,2879.27572
0.063175,13,2880.686229
0.064346,13,2882.230555
0.060667,13,2883.793937
0.064724,13,2885.310658
0.071584,14,2886.951176
0.06957,15,2888.703414
0.075393,15,2890.398999
0.071776,14,2892.045795
0.072394,15,2893.773898
0.071457,14,2895.366607
0.076402,15,2897.099307
0.072252,15,2898.851897
0.069663,15,2901.335742
0.069248,15,2902.636558
0.061861,14,2903.73792
0.063129,14,2904.839174
0.065157,14,2905.924057
0.063828,14,2907.057036
0.062964,14,2908.149699
0.059268,16,2909.55853
0.071543,20,2911.415068
0.07263,17,2913.04195
0.062748,19,2914.781132
0.07112,16,2916.003522
0.063169,14,2917.412483
0.072511,14,2918.547818
0.079213,15,2919.982152
0.049893,14,2921.283429
0.071886,14,2922.433611
0.061853,12,2923.36766
0.06466,12,2924.333827
0.063388,11,2925.212105
0.066963,12,2926.157405
0.064177,12,2927.110663
0.06513,12,2928.041282
